title,category,link
Analysing videos showing strikes that killed Nasrallah - How the BBC worked out the facts about blasts in Lebanon's capital from clues in social media footage.,Middle East,https://www.bbc.com/news/videos/cm28l6pnmxko
"'Lashed for a social media photo' in Iran - Women tell how their posts are being spied on, two years after Mahsa Amini's death rocked Iran.",Middle East,https://www.bbc.com/news/articles/c9qgq919yl5o
FBI issues warning over two fake election videos - Evidence seen by the BBC links the videos to a Russian-based operation of election disinformation. ,Reality Check,https://www.bbc.com/news/articles/cly2qjel083o
Is there a £22bn ‘black hole’ in the UK’s public finances? - Economists say the state of public finances should not have come as a complete surprise to the new government.,Reality Check,https://www.bbc.com/news/articles/cx2e12j4gz0o
Would raising employer National Insurance break Labour's pledge? - If the chancellor decides to increase NI for employers in the Budget would that be going back on previous promises?,Reality Check,https://www.bbc.com/news/articles/cly4leklk3qo
Can illegal immigrants really vote in the US election? - It is illegal for non-citizens to vote in the US election - but Donald Trump has repeatedly claimed immigrants are going to.,Reality Check,https://www.bbc.com/news/articles/c5yj98grr5lo
Does US lack relief money for Hurricane Milton? - Some Republicans claim the White House is prioritising funding for foreign countries over hurricane victims – what are the facts?,Reality Check,https://www.bbc.com/news/videos/cy5y1w33xkwo
"UN says 2024 is deadliest year for Channel migrants - So far this year, 52 people have died on the route, with the latest four deaths reported on Saturday.",Reality Check,https://www.bbc.com/news/articles/cj9j8r8z90wo
Ros Atkins on... unanswered questions as Trump returns to where he was shot - The BBC's analysis editor examines the security failures that led to the former president being shot at during a rally in July.,Reality Check,https://www.bbc.com/news/videos/ce816mjq8nmo
"What claims do you want BBC Verify to investigate? - Have you seen a claim made in an interview, speech or on social media that you want the Verify team to look into?",Reality Check,https://www.bbc.com/news/articles/czd9yz5n354o
"Why UK can't just return migrants to France, as Reform says - Reform UK appears to be wrong to claim Britain can legally turn small boats back in the Channel.",Reality Check,https://www.bbc.com/news/articles/cyxeedx40d8o
"What we know about firm linked to Lebanon pagers - BBC Verify has looked into a firm called BAC Consulting, which has been linked to the pagers' production.",Reality Check,https://www.bbc.com/news/articles/cew12r5qe1ro
Ros Atkins on how close Trump got to gunman at golf course - The BBC's analysis editor looks at the route Trump was taking and where secret agents spotted a rifle.,Reality Check,https://www.bbc.com/news/videos/cje33gqjk40o
"Trump repeats baseless claim about Haitian immigrants eating pets  - Donald Trump claimed immigrants in a small Ohio city were eating pets, but there’s no proof of this.",Reality Check,https://www.bbc.com/news/articles/c77l28myezko
Satellite images show how Israel is paving key Gaza road - BBC Verify looks at roadwork that analysts say shows Israel is unlikely to fully withdraw from Gaza any time soon.,Reality Check,https://www.bbc.com/news/articles/cewlqpk9e99o
"Kamala Harris convention speech fact-checked - BBC Verify has looked into some of the claims made by Kamala Harris at the DNC in Chicago.
",Reality Check,https://www.bbc.com/news/articles/clyw1l4lgnlo
"Six Kamala Harris claims fact-checked - BBC Verify examined claims made by Harris, about her record and Trump's on the economy, abortion and immigration.",Reality Check,https://www.bbc.com/news/articles/c785n2n9334o
BMW set upon and Asian men inside attacked - how violence surged in one UK city - Footage of an angry crowd swarming around a car and targeting its occupants is analysed by BBC Verify.,Reality Check,https://www.bbc.com/news/articles/cj622z0w7n0o
"Violent Southport protests reveal organising tactics of the far-right - Online influencers, rather than formal leaders, are mobilising the extreme right on the streets.",Reality Check,https://www.bbc.com/news/articles/cl4y0453nv5o
"What's the new government's housebuilding target? - The target, set out in the 2024 Labour manifesto, is for 1.5 million new homes over the next parliament.",Reality Check,https://www.bbc.com/news/61407508
Southport stabbing: How the knife attack unfolded - BBC Verify pieces together a timeline of how a stabbing attack unfolded at a Taylor Swift-themed class in a UK town.,Reality Check,https://www.bbc.com/news/videos/cjjw5g9010yo
Can I trust my weather app? - Warnings for rain have been issued in the UK today and the details are on our weather app. Here's a guide how to get the most from it.,Reality Check,https://www.bbc.com/news/59638765
"Retirement tax, net zero, small boats - BBC Verify tests key claims - The Conservative and Labour leaders have taken audience questions in a live BBC debate. Here their claims are fact-checked.",Reality Check,https://www.bbc.com/news/articles/c2xx0x20p2lo
Is Rishi Sunak keeping his five key promises? - The prime minister said five priorities should be used to hold his government to account.,Reality Check,https://www.bbc.com/news/65647308
"Seven-party BBC election debate fact-checked - BBC Verify examines claims on tax, defence, NHS and immigration",Reality Check,https://www.bbc.com/news/articles/c255py21x52o
"How is China helping out sanctioned Russia? - Vladimir Putin visits Beijing this week, as it faces accusations of supporting Moscow's war in Ukraine.",Reality Check,https://www.bbc.com/news/60571253
Is the UK on track to meet its climate targets? - The government's climate advisers warn the UK risks falling behind on efforts to reach net zero by 2050.,Reality Check,https://www.bbc.com/news/58160547
"What is levelling up and who is it helping? - The government has awarded funding to projects across the country as part of its ""levelling up"" plan.",Reality Check,https://www.bbc.com/news/56238260
"Why some parents effectively pay a 71% tax rate - Officially, the highest tax rate is 45% - but some workers can end up paying higher effective rates.",Reality Check,https://www.bbc.com/news/58870012
Why more parents are losing child benefit - More parents are losing child benefit because the threshold at which it starts being withdrawn has not changed in 10 years.,Reality Check,https://www.bbc.com/news/64836315
Benefits falling behind rising cost of living - New data suggests that the cost of living has been rising faster than official inflation figures.,Reality Check,https://www.bbc.com/news/67616610
"The Taliban's broken promises - Access to education, jobs and public spaces for women have all been curtailed under Taliban rule.",Reality Check,https://www.bbc.com/news/62469204
Rishi Sunak's claims on small boats fact checked - The prime minister gave an update on his policy of stopping small boats crossings.,Reality Check,https://www.bbc.com/news/65811208
The mystery results in Nigeria's disputed election - A BBC investigation has found significant discrepancies in the election results in one region of the country.,Reality Check,https://www.bbc.com/news/65163713
Do Labour or Conservatives have higher council tax? - Both parties claim to have cheaper council tax but it's very hard to tell.,Reality Check,https://www.bbc.com/news/65471344
Can Sudan refugees come to the UK legally? - Immigration minister Robert Jenrick wrongly said the UN could help Sudanese refugees come to the UK.,Reality Check,https://www.bbc.com/news/65411589
How did the government meet its police pledge? - The Conservatives meet their election pledge to recruit thousands of police officers.,Reality Check,https://www.bbc.com/news/65377091
Have the Conservatives increased council tax by 15%? - Labour made the claim in a campaign advert tweeted over the weekend.,Reality Check,https://www.bbc.com/news/65299856
Rishi Sunak asked to correct asylum figures error - Labour MP calls for a correction after the statistics regulator gets involved.,Reality Check,https://www.bbc.com/news/65179974
The Covid statements Boris Johnson was questioned about - MPs are investigating whether Mr Johnson was in contempt of Parliament.,Reality Check,https://www.bbc.com/news/60203864
The WhatsApp messages that complicate Johnson's defence - Boris Johnson claims his Downing Street colleagues thought rules were being followed.,Reality Check,https://www.bbc.com/news/65031463
Childcare money and other Jeremy Hunt Budget claims checked - The chancellor also made claims about immigration and surgeons working fewer hours.,Reality Check,https://www.bbc.com/news/64979853
The false claims fuelling Tunisia migrant tension - Videos falsely targeting African migrants in Tunisia have gone viral on TikTok and other platforms.,Reality Check,https://www.bbc.com/news/64868994
How far is Brexit to blame for the tomato shortage? - Many people have claimed Brexit is to blame for the UK tomato shortage - what is the evidence?,Reality Check,https://www.bbc.com/news/64762429
"What did Boris Johnson say about Northern Ireland deal? - Boris Johnson said his Brexit deal for Northern Ireland would mean ""no checks"" - but that didn't happen.",Reality Check,https://www.bbc.com/news/58001530
What did the government do about Covid and care homes? - The publication of Matt Hancock's messages focuses attention on what happened in care homes during the pandemic.,Reality Check,https://www.bbc.com/news/52674073
Keir Starmer's five missions speech fact-checked - Has the UK had the worst decade of growth for two centuries and other claims investigated.,Reality Check,https://www.bbc.com/news/64745176
President Putin's speech fact-checked - The Russian president gave a long address in Moscow - we've fact-checked of some his claims.,Reality Check,https://www.bbc.com/news/64718139
"Poverty, jobs, security: Nigeria poll claims checked - Claims about poverty, unemployment and insecurity feature prominently in this election campaign.",Reality Check,https://www.bbc.com/news/64642608
Investigating false posts about the Turkey earthquake - Some images claiming to show destruction in Turkey are from previous disasters in other countries.,Reality Check,https://www.bbc.com/news/64557407
Are pay review bodies completely independent? - Nurses are striking over a pay offer recommended by a review body.,Reality Check,https://www.bbc.com/news/63970986
Has the Brexit fishing promise come true? - Boris Johnson said his Brexit deal would mean lots of extra fish caught in the UK - has this happened?,Reality Check,https://www.bbc.com/news/64430216
Is Brexit costing £1m a day and other claims - Alastair Campbell and Jacob Rees-Mogg made claims about UK trade and the impact of Brexit.,Reality Check,https://www.bbc.com/news/64485501
"How are sanctions affecting Russia's energy exports? - Many countries are cutting back on Russian energy imports, but others are still buying.",Reality Check,https://www.bbc.com/news/58888451
Can these rocks really power light bulbs? - Viral videos of minerals with apparent electrical properties are not what they seem.,Reality Check,https://www.bbc.com/news/64390767
Lunar New Year 2023: China's Year of the Rabbit explained - More than a billion people are celebrating the Lunar New Year.,Reality Check,https://www.bbc.com/news/60198659
Will some teachers receive a 15.9% pay rise? - Fact-checking claims by Education Secretary Gillian Keegan and teachers' union boss Mary Bousted.,Reality Check,https://www.bbc.com/news/64308563
"How many Covid cases are there in China? - China has released a new Covid death figure, but there are concerns it is an underestimate.",Reality Check,https://www.bbc.com/news/59882774
Andrew Bridgen's vaccine claims fact-checked - The Conservative MP has been suspended after a tweet comparing Covid vaccine side effects to the Holocaust.,Reality Check,https://www.bbc.com/news/uk-politics-64237949
Why the battle for a Ukrainian salt town matters - Soledar in eastern Ukraine is the latest town to face an intense battle involving Russian forces.,Reality Check,https://www.bbc.com/news/64240404
Five key moments in storming of Brazil's Congress - President Lula has questioned police actions in failing to prevent the storming of government buildings.,Reality Check,https://www.bbc.com/news/64212071
What does facial recognition software make of Putin’s backdrop crowd? - There's been speculation public meetings with President Putin have been staged.,Reality Check,https://www.bbc.com/news/64189366
"How aid is getting to Tigray after the peace deal - Last November's peace deal has allowed aid supplies into Tigray again, but there are still concerns about the food situation.",Reality Check,https://www.bbc.com/news/57929853
How is China trying to beat its latest Covid surge? - China is ramping up its vaccination programme in response to the latest wave of Covid.,Reality Check,https://www.bbc.com/news/63798484
Do restrictions on travel work against Covid? - Is there evidence that travel restrictions help stop the spread of coronavirus?,Reality Check,https://www.bbc.com/news/59461861
Fact-checking Giorgia Meloni's claim about France - A video of an Italian politician claiming that France exploits African countries has been widely shared. Is she right?,Reality Check,https://www.bbc.com/news/63708313
Are teachers in the top 10% of earners in some areas? - Education Secretary Gillian Keegan said teachers are in the top 10% of earners in some parts of the country.,Reality Check,https://www.bbc.com/news/64064200
"Does the average nurse earn £34,000 a year? - Nurses have been striking in a dispute about pay. How much do they earn at the moment?",Reality Check,https://www.bbc.com/news/63587909
How are other countries tackling energy bills? - European countries are helping consumers facing surging energy prices.,Reality Check,https://www.bbc.com/news/61522123
Would every 1% rise to nurses' pay cost £700m? - Fact-checking a claim made by Health Minister Maria Caulfield.,Reality Check,https://www.bbc.com/news/63988517
What's the gap between public and private sector pay? - Do public or private sector workers get paid more?,Reality Check,https://www.bbc.com/news/55089900
"Would pay demands cost an extra £28bn? - The prime minister and health secretary both claim they would cost an extra £1,000 per household.",Reality Check,https://www.bbc.com/news/63917967
How much are rail workers paid? - There have been different claims made about how much rail workers get paid.,Reality Check,https://www.bbc.com/news/61840077
Why have Covid contracts been challenged? - The government awarded thousands of contracts to private companies during the pandemic.,Reality Check,https://www.bbc.com/news/56174954
"Why Nigel Farage is wrong about 'minority white' London - Former UKIP leader Nigel Farage claims London, Birmingham and Manchester are ""minority white"".",Reality Check,https://www.bbc.com/news/63806518
"Uganda's other fight against Ebola - Some Ugandans have been attacking the government's efforts, even denying the Ebola virus's existence.",Reality Check,https://www.bbc.com/news/63741125
Where will the 'eye-watering' cuts be? - BBC correspondents look at the areas where any cuts could fall.,Reality Check,https://www.bbc.com/news/63304224
"Searching for clues about Poland missile strike - Last night, a missile landed in Poland, killing two people - the BBC's open source investigations team has been searching for clues.",Reality Check,https://www.bbc.com/news/63648958
"Fact-checking '15,000 Iran death sentences' claims - Canadian Prime Minister Justin Trudeau and several other celebrities shared the claim on social media this week.",Reality Check,https://www.bbc.com/news/63643643
Four viral US election fraud claims fact-checked - Several false and unsubstantiated rumours have circulated online during the US midterm elections.,Reality Check,https://www.bbc.com/news/63564964
How many private jets were at COP27? - Demonstrators in Amsterdam stopped private jets taking off ahead of the UN Climate Change Conference.,Reality Check,https://www.bbc.com/news/63544995
How has US economy fared under President Biden? - President Biden has rejected suggestions the US economy is weakening.,Reality Check,https://www.bbc.com/news/59402975
"Looking for clues in video of forgotten massacre - As a truce is agreed in Ethiopia's bitter civil war, we investigate a massacre caught on video.",Reality Check,https://www.bbc.com/news/63515162
Fact-checking misleading claims about the US midterms - False election fraud claims and manipulated content are being widely shared ahead of the vote.,Reality Check,https://www.bbc.com/news/63486497
Is it getting harder to vote in the US? - New voting rules have come in across the US ahead of midterm elections. What impact will they have?,Reality Check,https://www.bbc.com/news/60309566
Fact-checking claims about asylum at PMQs - There were a number of claims made about the asylum system at Prime Minister's Questions.,Reality Check,https://www.bbc.com/news/63489695
Examining the false claims about the Pelosi attack - False claims about the violent attack have gone viral in the days following the incident.,Reality Check,https://www.bbc.com/news/63477452
"Corruption, Covid and cannibalism in Brazil's election - Lula da Silva won the second-round run-off on 30 October.",Reality Check,https://www.bbc.com/news/63374100
Have Ethiopian air strikes targeted civilians? - We've been investigating an air strike against one target in Tirgray.,Reality Check,https://www.bbc.com/news/63146055
"Fact-checking Rishi Sunak's first PMQs - Looking at claims about police numbers, nurses and fracking.",Reality Check,https://www.bbc.com/news/63403567
Is violent crime rising in the US? - Law and order promises to be a key talking point in the US midterms. We look at the numbers.,Reality Check,https://www.bbc.com/news/57581270
Video captures Yeysk plane crash - Dashcam footage captures the moment a Russian fighter jet hit a block of flats in the city of Yeysk.,Reality Check,https://www.bbc.com/news/63375678
Tory leadership: How secure is the online vote? - There are concerns about security if the Tory leadership is decided by an online ballot of party members.,Reality Check,https://www.bbc.com/news/63344131
How did Russian jet crash? - An investigation is under way into the crash of a fighter jet into a block of flats in Russia.,Reality Check,https://www.bbc.com/news/63313871
"Fact-checking Liz Truss at PMQs - Looking at claims about energy bills, NHS backlogs and interest rates.",Reality Check,https://www.bbc.com/news/63316608
"Russian fighter jet pilot found after crash - Pilot says he was not shot down, after ejecting from crashing plane.",Reality Check,https://www.bbc.com/news/63318967
The moment Russian plane crashed in Yeysk - Video footage captures the moment a Russian plane crashes into a building.,Reality Check,https://www.bbc.com/news/63316321
Tracking Syrian rebels' lightning offensive as they approach key city - BBC Verify has been tracking the territory captured by Syrian rebels as they move towards Homs.,Middle East,https://www.bbc.com/news/videos/c5ydd82n15ro
"Ros Atkins on… How the New York shooting unfolded - Our Analysis Editor Ros Atkins with BBC Verify has been looking at the gunman’s movements and what we know about how the shooting unfolded.
",Americas,https://www.bbc.com/news/videos/cy0ngp2pd8po
What has Joe Biden said in the past about pardoning his son? - The US president has previously vowed not to intervene in his son's case. ,Americas,https://www.bbc.com/news/articles/ceql5v5v0xlo
Ros Atkins On... Are North Korean troops fighting in Ukraine? - The BBC's analysis editor looks at what we know about the claims that North Korean troops are involved in the war in Ukraine.,World,https://www.bbc.com/news/videos/cx2d2kxlgnjo
False news reports made by Russian network ahead of US election - Evidence seen by the BBC links the videos to a Russian-based operation of election disinformation. ,Reality Check,https://www.bbc.com/news/articles/cly2qjel083o
"Fact-checking RFK Jr's views on health policy - Robert F Kennedy Jr has been nominated to be the next US health secretary, but some of his views are not backed by science.",Americas,https://www.bbc.com/news/articles/c0mzk2y41zvo
Will Elon Musk be able to cut $2 trillion from US government spending? - The Tesla CEO claimed he could slash US spending by eradicating “waste”.,Americas,https://www.bbc.com/news/articles/cdj38mekdkgo
Would Donald Trump’s tariffs hurt US consumers? - Trump claims more taxes on trade wouldn't be a cost to the US - but almost all economists dispute this.,Americas,https://www.bbc.com/news/articles/c20myx1erl6o
​​Gabriela is an undecided voter. Here's the very different content TikTok and X showed her - How is the battle for votes  unfolding over different social media feeds this US election?,Americas,https://www.bbc.com/news/articles/cy5lngzxxrvo
"Ukraine front could 'collapse' as Russia gains accelerate, experts warn - Moscow's forces have taken more ground since September than they did over the course of 2023, analysts say. ",Europe,https://www.bbc.com/news/articles/cn0dpdx420lo
"Why misinformation about a cow feed additive prompted people to throw milk away - The additive is approved by regulators and experts say it is safe, but misinformation has raged around Bovaer.",Reality Check,https://www.bbc.com/news/articles/c8rjdgre3vpo
"Russian ships move from Syria base amid doubts over future - Satellite images show Russian ships off the Syrian coast, as Moscow mulls its military future after Bashar al-Assad's fall.",World,https://www.bbc.com/news/articles/ckgn8e2zznno
"BBC Verify tracks week of rebel advances in Syria - It’s been one week since rebel forces launched their largest offensive against the Syrian government in years. BBC Verify has been tracking their advances.
",Middle East,https://www.bbc.com/news/videos/clyv31n33d9o
BBC reveals fighters accused of massacre in Sudan - Videos reviewed by BBC Verify show men wearing RSF insignia boasting of killing locals in al-Seriha,Africa,https://www.bbc.com/news/articles/c7864519eqvo
"Russia moving equipment at Syrian bases, satellite images show - Images show a build up of military vehicles at Russia's two bases in Syria near the Mediterranean Sea.",World,https://www.bbc.com/news/articles/cm2ev2prep2o
What CCTV and social media videos reveal about New Orleans attack - BBC Verify’s Jake Horton looks at how the attack in New Orleans unfolded.,Americas,https://www.bbc.com/news/videos/c3rq00wwn1ro
"What we know about US visas Trump supporters are clashing over - A row has erupted over a long-standing US visa programme, We looked into the figures behind the scheme.",Americas,https://www.bbc.com/news/articles/ckg87n2ml11o
What verified videos tell us about Igor Kirillov's death - Footage from the scene shows a blast targeting the Russian general as he left a Moscow apartment block.,Europe,https://www.bbc.com/news/articles/c62306k7nr1o
BBC reveals fighters accused of massacre in Sudan - Videos reviewed by BBC Verify show men wearing RSF insignia boasting of killing locals in al-Seriha,Reality Check,https://www.bbc.com/news/articles/c7864519eqvo
What is Starmer's record on prosecuting grooming gangs? - The prime minister has come under attack from Elon Musk over his record as director of public prosecutions.,Reality Check,https://www.bbc.com/news/articles/cvgn2wvxx5qo
Colossal scale of building challenge revealed by BBC's new housing tracker - The postcode lookup allows anyone in England to monitor new home-building targets in their area.,Reality Check,https://www.bbc.com/news/articles/c8j9j0j4l7mo
Fact-checking criticism of California Democrats over fires - The US president-elect has criticised a top California Democrat for challenges fighting the blazes in Los Angeles. ,Americas,https://www.bbc.com/news/articles/czj3yk90kpyo
How Elon Musk seized on baseless memo claim to fuel wave of misinformation - The X owner shared false claims that a Home Office memo urged police not to intervene in child grooming cases.,Reality Check,https://www.bbc.com/news/articles/c4g2g7qgl1eo
"Some councils ordered to increase home building by 400%, new BBC tracker shows - The postcode lookup allows anyone in England to monitor new home-building targets in their area.",Reality Check,https://www.bbc.com/news/articles/c8j9j0j4l7mo
"How 15 months of war has devastated Gaza - BBC Verify examines how fighting has impacted civilians lives in Gaza, after over a year of fighting.",Middle East,https://www.bbc.com/news/articles/czx8de2k4epo
"Gaza 'humanitarian zone' struck almost 100 times since May, BBC Verify finds - The area in Gaza which Israel's military has told people to go to ""for their safety"" has been hit by 97 strikes since May, BBC Verify analysis has revealed.",Middle East,https://www.bbc.com/news/articles/cx2jld7j50eo
Russia suffering 'environmental catastrophe' after oil spill in Kerch Strait - Activists say the spill - caused after two ships ran were battered by a storm - could cover an area of 400 sq km. ,Europe,https://www.bbc.com/news/articles/c23ngk5vgmpo
Satellite imagery reveals Israeli military construction in buffer zone with Syria - A satellite image taken 21 January shows new construction within the demilitarised zone.,Middle East,https://www.bbc.com/news/articles/cvgmn3jmm1yo
BBC Verify analyses Hamas hostage handover video - BBC Verify's Nick Eardley examines Hamas' footage of the moment three hostages were handed over.,Reality Check,https://www.bbc.com/news/videos/c5y2gzl091go
"Russia withdraws military equipment from Syrian port, images show - Moscow had moved columns of military vehicles to the port after the fall of Bashar al-Assad.",World,https://www.bbc.com/news/articles/cly5zmm186no
Russian ships return to Syrian base ahead of expected withdrawal - Analysts say the return suggests that Moscow is preparing to evacuate one of its most valuable overseas bases. ,World,https://www.bbc.com/news/articles/c14nk475nd5o
Will electric planes and sustainable fuel make Heathrow's third runway green? - BBC Verify assesses whether Chancellor Rachel Reeves' three key climate claims about the runway add up.,Reality Check,https://www.bbc.com/news/articles/cdjdz92v84do
Will Donald Trump’s tariffs hurt US consumers? - Trump claims more taxes on trade wouldn't be a cost to the US - but almost all economists dispute this.,Americas,https://www.bbc.com/news/articles/c20myx1erl6o
How does fentanyl get into the US? - President Trump has blamed China for its opioid crisis and imposed sweeping tariffs. ,World,https://www.bbc.com/news/articles/cvg93nn1e6go
Fact-checking Trump's claims about diversity schemes and the Washington plane crash - He told a news conference that diversity hiring efforts at the Federal Aviation Administration may have led to safety issues.,Americas,https://www.bbc.com/news/articles/cwyeg61pnl5o
"False video claims Hollywood stars were paid by USAID to visit Ukraine - The video has hallmarks of a Russian disinformation operation, previously investigated by the BBC. ",Americas,https://www.bbc.com/news/articles/c0m12wl0jwpo
"BBC Verify: Can Trump really take ownership of Gaza? - BBC Verify examines international law to understand if the US has the authority to ""take over"" the Gaza Strip.",Americas,https://www.bbc.com/news/videos/c8d9llpe1gmo
Would the new Tory plan bring down immigration? - ,Reality Check,https://www.bbc.com/news/articles/c0qw2055qdjo
"'It flew right into her room': Ukrainian girl killed by Russian drone as attacks surge - Russia is launching mass drone strikes on Ukraine. Maria, 14, was one of the latest victims.",Europe,https://www.bbc.com/news/articles/c8jyrn4z1gko
"Zelensky says Russia has 50,000 troops in Kursk - Ukraine's president says the incursion is limiting the forces Moscow can deploy inside his country.",World,https://www.bbc.com/news/articles/c9vn1x23x88o
Macron and Starmer vow 'unwavering' Ukraine support - The leaders' discussions also focused on the Middle East and the problems caused by migration in Europe.,Europe,https://www.bbc.com/news/articles/ce8dz0n8xldo
"Trump ally says Ukraine focus must be peace, not territory - Bryan Lanza tells the BBC there needs to be an ""honest conversation"" with Kyiv and returning Crimea is not a US priority.",World,https://www.bbc.com/news/articles/czxrwr078v7o
"Russia denies Trump call with Putin urging restraint in Ukraine - The US president-elect, who is promising to end the conflict, was reported to have spoken to Vladimir Putin on Thursday.",World,https://www.bbc.com/news/articles/cy4g0vg8gdqo
Russian doctor jailed for five years over alleged Ukraine war remarks - Nadezhda Buyanova denied making the remarks and called the case absurd.,Europe,https://www.bbc.com/news/articles/ckgrkg02jz3o
Moscow targeted as Ukraine and Russia trade huge drone attacks - Both countries say they shot down dozens of drones over their respective territories.,Europe,https://www.bbc.com/news/articles/cx28jd0114ro
"What Trump's win means for Ukraine, Middle East and China - Trump's promises on China as well as ending wars in Ukraine and the Middle East will soon be put to the test.",Americas,https://www.bbc.com/news/articles/c2dl0e4l7lzo
"Moscow had high hopes for Trump in 2016. It's more cautious this time - The race for the White House presents Vladimir Putin with a dilemma, writes the BBC's Steve Rosenberg.",World,https://www.bbc.com/news/articles/c4g95r3lnr2o
Mystery of Russia's secret weapon downed in Ukraine - Ukrainians watched intrigued as a Russian stealth combat drone was apparently shot down by a Russian jet.,Europe,https://www.bbc.com/news/articles/c9qv3lnqy0vo
"Zelensky gives his 'victory plan' a hard sell in the US - did the pitch fall flat? - Ukraine's president met Donald Trump, Kamala Harris and Joe Biden as he bid for Western help to end the war.",World,https://www.bbc.com/news/articles/c2lnerd17wyo
"War in maps: Ukraine's counter-offensive into Russian territory - As Russian forces make slow progress in eastern Ukraine, Ukraine's military stages a surprise cross-border attack.",Europe,https://www.bbc.com/news/world-europe-60506682
Family pay tribute to British man killed in Ukraine - Callum Tindal-Draper's mother and father said they are very proud of their son.,UK/Local,https://www.bbc.com/news/articles/c0qd7wpgvjgo
"Ukraine says it fought N Korean troops for first time - Defence Minister Rustem Umerov said a ""small group"" of North Korean soldiers were attacked.",World,https://www.bbc.com/news/articles/c14le0p4310o
"'It's scary - but so's giving birth': The  female unit gunning down Russian drones - The Witches of Bucha, as they call themselves, help protect Ukraine's skies from Russian drones. ",Europe,https://www.bbc.com/news/articles/c62gx6rvv5wo
Fighting Russia - and low morale - on Ukraine's ‘most dangerous front line’ - The BBC visits a key city under attack by Russia and finds eroded morale among its few remaining residents.,Europe,https://www.bbc.com/news/articles/c80rjxl7le1o
"'Russians invaded my house and held a soldier captive there' - After Marina Perederii fled her home in Ukraine, it appeared in an online video of a Russian soldier looking through her photos. 
",Europe,https://www.bbc.com/news/articles/ceqnwl49v43o
"Mike Pompeo revisited: How could Trump end the war in 24 hours? - The former secretary of state on his old boss, and US support.",Europe,https://www.bbc.comhttps://www.bbc.co.uk/sounds/play/p0k37c88
"Ukrainian refugee hosts needed in Torbay - Councillor Chris Lewis says they need another 30 hosts, ""with one, or preferably two spare rooms"".",UK/Local,https://www.bbc.com/news/articles/c39ndnpzxvmo
Refugee homes branded eyesore by nearby residents - Ukrainian refugees are moving into a temporary housing development branded an eyesore by locals.,UK/Local,https://www.bbc.com/news/articles/cn012e2ylk1o
